code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
RIOK3:9baa49dd	19228	0.0	0.0	0.0	1.0	1.0	0.0
RIOK3:9baa49dd	19229	2.0	0.0	0.0	4.0	8.0	3.0
RIOK3:9baa49dd	69426	0.0	0.0	0.0	0.0	1.0	1.0
RIOK3:9baa49dd	a	0.0	6.0	3.0	12.0	42.0	18.0
RIOK3:9baa49dd	m	0.0	0.0	0.0	2.0	2.0	0.0
RIOK3:b267cda6	17596	0.0	0.0	0.0	0.0	4.0	1.0
RIOK3:b267cda6	17802	0.0	0.0	0.0	2.0	0.0	1.0
RIOK3:b267cda6	19227	0.0	0.0	0.0	1.0	4.0	1.0
RIOK3:b267cda6	19228	0.0	0.0	0.0	0.0	1.0	0.0
RIOK3:b267cda6	19229	0.0	0.0	0.0	2.0	4.0	1.0
RIOK3:b267cda6	69426	0.0	0.0	0.0	0.0	1.0	0.0
RIOK3:b267cda6	a	0.0	0.0	0.0	10.0	22.0	8.0
RIOK3:b267cda6	m	0.0	0.0	0.0	1.0	1.0	1.0
RIOK3:b7006761	17596	0.0	0.0	0.0	0.0	4.0	1.0
RIOK3:b7006761	17802	0.0	0.0	1.0	1.0	8.0	2.0
RIOK3:b7006761	19227	0.0	0.0	1.0	0.0	8.0	3.0
RIOK3:b7006761	19228	0.0	0.0	0.0	0.0	0.0	0.0
RIOK3:b7006761	19229	0.0	0.0	0.0	1.0	0.0	2.0
RIOK3:b7006761	69426	0.0	0.0	0.0	1.0	0.0	0.0
RIOK3:b7006761	a	0.0	0.0	4.0	11.0	20.0	3.0
RIOK3:b7006761	m	0.0	0.0	1.0	0.0	0.0	0.0
RIOK3:bf78ba7e	17596	0.0	0.0	0.0	1.0	2.0	1.0
RIOK3:bf78ba7e	17802	0.0	0.0	0.0	4.0	3.0	4.0
RIOK3:bf78ba7e	19227	0.0	0.0	0.0	4.0	8.0	1.0
RIOK3:bf78ba7e	19228	0.0	0.0	0.0	0.0	2.0	0.0
